Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LD13,LED,LED_0805_2012Metric,63.0,-93.0,180.0,top
LD14,LED,LED_0805_2012Metric,62.975,-95.5,180.0,top
LD15,LED,LED_0805_2012Metric,63.0,-98.0,180.0,top
LD16,LED,LED_0805_2012Metric,63.0,-100.5,180.0,top
LD17,LED,LED_0805_2012Metric,63.0,-103.0,180.0,top
LD18,LED,LED_0805_2012Metric,63.0,-105.5,180.0,top
LD19,LED,LED_0805_2012Metric,104.175,-121.4,0.0,top
LD20,LED,LED_0805_2012Metric,104.175,-123.9,0.0,top
LD21,LED,LED_0805_2012Metric,104.175,-126.4,0.0,top
LD22,LED,LED_0805_2012Metric,104.175,-128.9,0.0,top
LD23,LED,LED_0805_2012Metric,104.2,-131.4,0.0,top
LD24,LED,LED_0805_2012Metric,104.2,-133.9,0.0,top
LD25,LED,LED_0805_2012Metric,104.2,-136.4,0.0,top
LD26,LED,LED_0805_2012Metric,104.175,-138.9,0.0,top
O1,VOM617A-4T,VOMOPTO,92.0,-47.6,180.0,top
O2,VOM617A-4T,VOMOPTO,92.0,-52.0,180.0,top
O3,VOM617A-4T,VOMOPTO,92.0,-56.4,180.0,top
O4,VOM617A-4T,VOMOPTO,92.0,-60.8,180.0,top
O5,VOM617A-4T,VOMOPTO,92.0,-65.2,180.0,top
O6,VOM617A-4T,VOMOPTO,92.0,-69.6,180.0,top
O7,VOM617A-4T,VOMOPTO,92.0,-74.0,180.0,top
O8,VOM617A-4T,VOMOPTO,92.0,-78.4,180.0,top
O9,VOM617A-4T,VOMOPTO,92.0,-82.8,180.0,top
O10,VOM617A-4T,VOMOPTO,92.0,-87.2,180.0,top
O11,VOM617A-4T,VOMOPTO,92.0,-91.6,180.0,top
O12,VOM617A-4T,VOMOPTO,92.0,-96.0,180.0,top
O13,VOM617A-4T,VOMOPTO,92.0,-113.6,180.0,top
O14,VOM617A-4T,VOMOPTO,92.0,-109.2,180.0,top
O15,VOM617A-4T,VOMOPTO,92.0,-104.8,180.0,top
O16,VOM617A-4T,VOMOPTO,92.0,-100.4,180.0,top
O17,VOM617A-4T,VOMOPTO,85.4,-121.2,-90.0,top
O18,VOM617A-4T,VOMOPTO,81.0,-121.2,-90.0,top
O19,VOM617A-4T,VOMOPTO,76.6,-121.2,-90.0,top
O20,VOM617A-4T,VOMOPTO,72.2,-121.2,-90.0,top
O21,VOM617A-4T,VOMOPTO,71.6,-129.6,0.0,top
O22,VOM617A-4T,VOMOPTO,71.6,-134.0,0.0,top
O23,VOM617A-4T,VOMOPTO,71.6,-138.4,0.0,top
O24,VOM617A-4T,VOMOPTO,71.6,-142.6,0.0,top
R1,RESISTOR,R_0805_2012Metric,171.0,-51.5,0.0,top
R2,2k2,R_0805_2012Metric,171.0,-129.5,0.0,top
R3,68k,R_0805_2012Metric,114.5,-105.0,0.0,top
R4,68k,R_0805_2012Metric,119.0,-105.0,0.0,top
R5,68k,R_0805_2012Metric,114.5,-107.5,0.0,top
R6,68k,R_0805_2012Metric,119.0,-107.5,0.0,top
R7,68k,R_0805_2012Metric,136.5,-110.0,180.0,top
R8,68k,R_0805_2012Metric,132.0,-110.0,180.0,top
R9,68k,R_0805_2012Metric,132.0,-105.0,180.0,top
R10,1k5,R_0805_2012Metric,136.5,-105.0,0.0,top
R11,120k,R_0805_2012Metric,136.5,-102.0,90.0,top
R12,1k5,R_0805_2012Metric,134.0,-102.0,90.0,top
R13,120k,R_0805_2012Metric,131.5,-102.0,90.0,top
R14,330R,R_0805_2012Metric,129.05,-128.25,-90.0,top
R15,680R,R_0805_2012Metric,98.5,-47.6,-90.0,top
R16,680R,R_0805_2012Metric,98.5,-52.0,-90.0,top
R17,680R,R_0805_2012Metric,98.5,-56.4,-90.0,top
R18,680R,R_0805_2012Metric,98.5,-60.8,-90.0,top
R19,680R,R_0805_2012Metric,98.5,-65.2,-90.0,top
R20,680R,R_0805_2012Metric,98.5,-69.6,-90.0,top
R21,680R,R_0805_2012Metric,98.5,-74.0,-90.0,top
R22,680R,R_0805_2012Metric,98.5,-78.4,-90.0,top
R23,1k,R_0805_2012Metric,67.5,-54.0,180.0,top
R24,1k,R_0805_2012Metric,63.0,-51.5,180.0,top
R25,1k,R_0805_2012Metric,63.0,-54.0,180.0,top
R26,1k,R_0805_2012Metric,67.5,-51.5,180.0,top
R27,1k,R_0805_2012Metric,63.0,-76.5,0.0,top
R28,1k,R_0805_2012Metric,67.5,-76.5,180.0,top
R29,1k,R_0805_2012Metric,63.0,-79.0,0.0,top
R30,1k,R_0805_2012Metric,67.5,-79.0,180.0,top
R31,330R,R_0805_2012Metric,67.5,-56.5,0.0,top
R32,330R,R_0805_2012Metric,67.5,-59.0,0.0,top
R33,330R,R_0805_2012Metric,67.5,-61.5,0.0,top
R34,330R,R_0805_2012Metric,67.5,-64.0,0.0,top
R35,330R,R_0805_2012Metric,67.5,-66.5,0.0,top
R36,330R,R_0805_2012Metric,67.5,-69.0,0.0,top
R37,330R,R_0805_2012Metric,67.5,-71.5,0.0,top
R38,330R,R_0805_2012Metric,67.5,-74.0,0.0,top
R39,680R,R_0805_2012Metric,98.5,-82.8,-90.0,top
R40,680R,R_0805_2012Metric,98.5,-87.2,-90.0,top
R41,680R,R_0805_2012Metric,98.5,-91.6,-90.0,top
R42,680R,R_0805_2012Metric,98.4,-95.8,-90.0,top
R43,680R,R_0805_2012Metric,99.6,-112.6,180.0,top
R44,680R,R_0805_2012Metric,98.5,-109.2,-90.0,top
R45,680R,R_0805_2012Metric,98.5,-104.8,-90.0,top
R46,680R,R_0805_2012Metric,98.5,-100.4,-90.0,top
R47,1k,R_0805_2012Metric,67.5,-85.5,180.0,top
R48,1k,R_0805_2012Metric,63.0,-85.5,180.0,top
R49,1k,R_0805_2012Metric,63.0,-83.0,180.0,top
R50,1k,R_0805_2012Metric,67.5,-83.0,180.0,top
R51,1k,R_0805_2012Metric,67.5,-108.0,180.0,top
R52,1k,R_0805_2012Metric,63.0,-108.0,0.0,top
R53,1k,R_0805_2012Metric,67.5,-110.5,180.0,top
R54,1k,R_0805_2012Metric,63.0,-110.5,0.0,top
R55,330R,R_0805_2012Metric,67.5,-88.0,0.0,top
R56,330R,R_0805_2012Metric,67.5,-90.5,0.0,top
R57,330R,R_0805_2012Metric,67.5,-93.0,0.0,top
R58,330R,R_0805_2012Metric,67.5,-95.5,0.0,top
R59,330R,R_0805_2012Metric,67.5,-98.0,0.0,top
R60,330R,R_0805_2012Metric,67.5,-100.5,0.0,top
R61,330R,R_0805_2012Metric,67.5,-103.0,0.0,top
R62,330R,R_0805_2012Metric,67.5,-105.5,0.0,top
R63,680R,R_0805_2012Metric,63.0,-120.0,0.0,top
R64,680R,R_0805_2012Metric,63.0,-122.5,0.0,top
R65,680R,R_0805_2012Metric,63.0,-125.0,0.0,top
R66,680R,R_0805_2012Metric,63.0,-127.5,0.0,top
R67,680R,R_0805_2012Metric,63.0,-130.0,0.0,top
R68,680R,R_0805_2012Metric,63.0,-132.5,0.0,top
R69,680R,R_0805_2012Metric,63.0,-135.0,0.0,top
R70,680R,R_0805_2012Metric,63.0,-137.5,0.0,top
R71,1k,R_0805_2012Metric,104.175,-118.9,180.0,top
R72,1k,R_0805_2012Metric,99.675,-118.9,180.0,top
R73,1k,R_0805_2012Metric,104.175,-116.4,180.0,top
R74,1k,R_0805_2012Metric,99.675,-116.4,180.0,top
R75,1k,R_0805_2012Metric,104.175,-141.4,180.0,top
R76,1k,R_0805_2012Metric,99.675,-141.4,180.0,top
R77,1k,R_0805_2012Metric,104.175,-143.9,180.0,top
R78,1k,R_0805_2012Metric,99.675,-143.9,180.0,top
R79,330R,R_0805_2012Metric,99.675,-121.4,180.0,top
R80,330R,R_0805_2012Metric,99.675,-123.9,180.0,top
R81,330R,R_0805_2012Metric,99.675,-126.4,180.0,top
R82,330R,R_0805_2012Metric,99.675,-128.9,180.0,top
R83,330R,R_0805_2012Metric,99.675,-131.4,180.0,top
R84,330R,R_0805_2012Metric,99.675,-133.9,180.0,top
R85,330R,R_0805_2012Metric,99.675,-136.4,180.0,top
R86,330R,R_0805_2012Metric,99.675,-138.9,180.0,top
R87,68k,R_0805_2012Metric,114.5,-90.5,0.0,top
R88,68k,R_0805_2012Metric,119.0,-90.5,0.0,top
R89,68k,R_0805_2012Metric,114.5,-93.0,0.0,top
R90,68k,R_0805_2012Metric,119.0,-93.0,0.0,top
R91,68k,R_0805_2012Metric,136.5,-95.5,180.0,top
R92,68k,R_0805_2012Metric,132.0,-95.5,180.0,top
R93,68k,R_0805_2012Metric,132.0,-90.5,180.0,top
R94,1k5,R_0805_2012Metric,136.5,-90.5,0.0,top
R95,120k,R_0805_2012Metric,136.5,-87.5,90.0,top
R96,1k5,R_0805_2012Metric,134.0,-87.5,90.0,top
R97,120k,R_0805_2012Metric,131.5,-87.5,90.0,top
R98,330R,R_0805_2012Metric,124.55,-128.25,-90.0,top
U1,78L05SMD,SOIC-8_3.9x4.9mm_P1.27mm,148.0,-134.865,0.0,top
U2,78L10SMD,SOIC-8_3.9x4.9mm_P1.27mm,160.5,-134.865,0.0,top
U3,MC33204,SOIC-14_3.9x8.7mm_P1.27mm,125.5,-106.5,0.0,top
U4,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,76.5,-58.0,0.0,top
U5,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,76.5,-72.0,0.0,top
U6,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,76.5,-91.0,0.0,top
U7,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,76.525,-103.5,0.0,top
U8,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,111.875,-121.4,0.0,top
U9,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,111.875,-135.4,0.0,top
U10,MC33204,SOIC-14_3.9x8.7mm_P1.27mm,125.5,-92.0,0.0,top
U11,RPI40PIN,rpi-40pin,127.5,-76.25,0.0,top
